Era_ID,Era_Start_Year,Era_End_Year,Region,D1_SM_OccupationalMobility,D1_SM_StatusFluidity,D1_SM_InstitutionalMobility,D1_SM_IntergroupTransferability,D1_SM_MeritocraticPathways,D2_ED_KnowledgeGatekeeping,D2_ED_LanguageOfTransmission,D2_ED_EducationalInfrastructure,D2_ED_PedagogicalInclusivity,D2_ED_IntellectualPluralism,D3_EC_OccupationalPlurality,D3_EC_GuildMarketAccessibility,D3_EC_InternalMarketIntegration,D3_EC_ExternalTradeLinkages,D3_EC_StateRedistributionWelfare,D4_PO_AdminIntegration,D4_PO_SuccessionStability,D4_PO_TerritorialContinuity,D4_PO_ConflictManagement,D4_PO_DiplomaticStability,D5_CU_FreedomOfWorship,D5_CU_RitualInclusivity,D5_CU_SocialContactNorms,D5_CU_SyncretismHybridization,D5_CU_NormativeHierarchyVsEquality,D1_Total,D2_Total,D3_Total,D4_Total,D5_Total,CCSI_Total,Notes,Interpolated,Sources_List
E01,-1500,-1000,Gangetic North,1,1,1,0,1,3,3,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,3,4,10,7,6,11,38,"The Late Rigvedic/early Vedic period in the Gangetic region saw nascent stratification, Brahmanical dominance, limited mobility, and early agricultural expansion.",0,"Sharma, R.S. (1983) – Material Culture and Social Formations in Ancient India; Thapar, Romila (2002) – Early India: From the Origins to AD 1300; Witzel, Michael (1995) – Early Sanskritization: Origins and Development of the Kuru State; Erdosy, George (1995) – The Prelude to Urbanization: Ethnicity and the Rise of Late Vedic Chiefdoms; Olivelle, Patrick (1999) – The Early Upanishads; Flood, Gavin (1996) – An Introduction to Hinduism; Trautmann, Thomas R. (1981) – Dravidian Kinship; Chakrabarti, Dilip K. (2001) – India: An Archaeological History; Allchin, F.R., & Allchin, B. (1982) – The Rise of Civilization in India and Pakistan; Lal, B.B. (2002) – The Saraswati Flows On"
E02,-1000,-500,Gangetic North,2,2,1,1,1,3,3,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,3,7,11,10,10,12,50,"The Gangetic North saw the rise of complex social hierarchies, Brahmanical education, early state formations, and cultural syncretism amid emerging heterodoxies.",0,Sharma (1983) – Material Culture and Social Formations in Ancient India; Thapar (2002) – Early India: From the Origins to AD 1300; Witzel (1995) – Early Sanskritization: Origins and Development of the Kuru State; Olivelle (1999) – The Early Upanishads; Gombrich (1988) – Theravada Buddhism: A Social History; Erdosy (1995) – The Prelude to Urbanisation: Ethnicity and the Rise of Late Vedic Towns; Kosambi (1956) – An Introduction to the Study of Indian History; Trautmann (1971) – Kauṭilya and the Arthaśāstra
E03,-500,-200,Gangetic North,2,2,2,1,2,3,3,2,1,3,3,2,3,3,1,3,2,3,2,2,3,2,2,3,1,9,12,12,12,11,56,"The Gangetic North saw moderate social mobility within the varna system, significant religious and philosophical ferment, growing trade networks, and consolidating political structures.",0,Thapar (2002) – Early India: From the Origins to AD 1300; Sharma (1983) – Material Culture and Social Formations in Ancient India; Kosambi (1956) – An Introduction to the Study of Indian History; Olivelle (1999) – The Early Upanisads; Witzel (1989) – Tracing the Vedic Dialects; Ray (2003) – The Archaeology of Knowledge; Gombrich (1988) – Theravada Buddhism; Erdosy (1995) – The Archaeology of Early Historic South Asia; Allchin (1995) – The Archaeology of Early Historic South Asia; Trautmann (1971) – Kauṭilya and the Arthaśāstra
E04,-200,100,Gangetic North,2,2,2,1,2,3,3,2,1,3,3,2,3,3,1,2,2,3,2,2,3,2,2,3,3,9,12,12,11,13,57,"The Gangetic North saw moderate social mobility, religious pluralism under Shunga rule, expanding trade networks, and developing political structures, but caste remained influential.",0,Thapar (2002) – Early India From the Origins to AD 1300; Sharma (1983) – Material Culture and Social Formations in Ancient India; Kosambi (1956) – An Introduction to the Study of Indian History; Raychaudhuri (2006) – Political History of Ancient India; Witzel (1995) – Early Sanskritization; Erdosy (1995) – The Archaeology of Early Historic South Asia; Allchin (1995) – The Archaeology of Early Historic South Asia; Olivelle (1999) – The Early Upanisads; Pollock (2006) – The Language of the Gods in the World of Men; Schwartzberg (1992) – A Historical Atlas of South Asia
E05,100,300,Gangetic North,2,2,1,1,2,3,3,2,1,2,3,2,3,3,1,3,2,3,2,2,3,2,2,3,2,8,11,12,12,12,55,"The Gangetic North in this period saw moderate social mobility, strong educational gatekeeping, flourishing trade, evolving polities, and religious syncretism.",0,"Thapar (2002) – Early India: From the Origins to AD 1300; Sharma (1983) – Material Culture and Social Formations in Ancient India; Ray (2003) – The Archaeology of Knowledge: Indian Culture of the 2nd-7th Centuries AD; Kosambi (1956) – An Introduction to the Study of Indian History; Habib (2002) - The Agrarian System of Mughal India, 1556-1707; Singh (2009) - A History of Ancient and Early Medieval India: From the Stone Age to the 12th Century; Erdosy (1988) - Urbanisation in Early Historic India; Allchin (1995) - The Archaeology of Early Historic South Asia: The Emergence of Cities and States; Olivelle (1999) - The Early Upanishads; Flood (1996) - An Introduction to Hinduism"
E06,300,500,Gangetic North,2,2,1,1,2,3,3,2,2,3,3,2,3,2,1,2,2,2,2,2,3,2,2,3,3,8,13,11,10,13,55,"Gupta Gangetic North saw limited social mobility, developed Sanskrit education, moderate economic activity, decentralized governance and religious syncretism.",0,Sharma (1983) – Material Culture and Social Formations in Ancient India; Thapar (2002) – Early India From the Origins to AD 1300; Altekar (1959) – State and Government in Ancient India; Majumdar (1977) – Ancient India; Huntington (1985) – Art of Ancient India; Rosenfield (1967) – The Dynastic Arts of the Kushans; Ray (1986) – Social History of Early India
E07,500,700,Gangetic North,2,2,1,1,1,3,3,2,1,2,3,2,2,2,1,2,1,2,2,2,3,2,2,3,3,7,11,10,9,13,50,"The Gangetic North in this era shows moderate mobility, strong religious influence, agrarian economy, fragmented polities and nascent cultural syncretism.",0,"Sharma (1983) – Material Culture and Social Formations in Ancient India; Thapar (2002) – Early India From the Origins to AD 1300; Singh (2009) – A History of Ancient and Early Medieval India; Kulke & Rothermund (2004) – A History of India; Ray, H. P. (2003). The Archaeology of Seafaring in Ancient South Asia; Witzel, M. (1989). Tracing the Vedic dialects; Olivelle, P. (1999). The Early Upanishads; Flood, G. (1996). An Introduction to Hinduism; Pollock, S. (2006). The Language of the Gods in the World of Men: Sanskrit, Culture, and Power in Premodern India; Michaels, A. (2004). Hinduism: Past and Present; Gombrich, R. F. (1988). Theravada Buddhism: A Social History from Ancient Benares to Modern Colombo; Huntington, S. L. (1985). The Art of Ancient India."
E08,700,900,Gangetic North,2,2,1,1,1,3,3,2,1,2,3,2,2,2,1,2,2,2,2,2,3,2,2,3,3,7,11,10,10,13,51,"Early medieval Gangetic North saw limited mobility, hierarchical education, localized economies, decentralized polities, and syncretic religious practices.",0,"Sharma (1983) – Perspectives in Social and Economic History of Early India; Habib (2002) – The Agrarian System of Mughal India, 1556-1707; Mukhia (1999) – The Mughals of India; Thapar (2002) – Early India: From the Origins to AD 1300; Chattopadhyaya (1994) – The Making of Early Medieval India; Singh (2009) – A History of Ancient and Early Medieval India; Pollock (2006) – The Language of the Gods in the World of Men; Wink (2020) - India and the World System; Kulke & Rothermund (2004) - A History of India; Eaton (2019) - India in the Persianate Age; Bayly (1983) - Rulers, Townsmen, and Bazaars"
E09,900,1100,Gangetic North,2,2,1,1,2,3,3,2,2,3,3,2,2,2,1,2,2,3,2,2,3,2,2,3,3,8,13,10,11,13,55,"The Gangetic North saw limited social mobility within a hierarchical society, moderate education reach, agrarian economy, decentralized polity, and a syncretic cultural landscape.",0,"Sharma (1983) – Perspectives in Social and Economic History of Early India; Thapar (2002) – Early India: From the Origins to AD 1300; Habib (2002) – The Agrarian System of Mughal India, 1556-1707; Wink (1986) – Land and Sovereignty in India; Gommans (2002) – Mughal Warfare; Pollock (2006) – The Language of the Gods in the World of Men; Lorenzen (1995) – Bhakti Religion in South Asia; Eaton (2019) - India in the Persianate Age"
E10,1100,1300,Gangetic North,2,2,1,1,2,3,3,2,1,3,3,2,3,3,1,2,2,2,2,2,3,2,2,3,2,8,12,12,10,12,54,"The Gangetic North during 1100-1300 CE witnessed moderate social mobility, religious diversity, expanding trade networks, and decentralized political structures under various dynasties.",0,"Sharma (1983) – Urban Decay in India; Habib (1999) – The Agrarian System of Mughal India; Wink (1990) – Al-Hind: The Making of the Indo-Islamic World, Vol. 1; Bayly (1983) – Rulers, Townsmen, and Bazaars; Eaton (2019) – India in the Persianate Age; Thapar (2002) – Early India: From the Origins to AD 1300; Chandra (2005) – Medieval India: From Sultanat to the Mughals; Kumar (2018) – The Present in Delhi's Past; Asher (2006) – India Before Europe; Talbot (2015) – The History of Medieval India"
